P,k,seed,l,Omega_L1,Omega_AC,Omega_true,chi_AC,n_groups,max_group_size,restart_gain
10,1,4,5,2.0,2.0,2.0,1.0,1,1,1.0
10,1,4,6,2.0,2.0,2.0,1.0,1,1,1.0
10,1,4,7,2.0,2.0,2.0,1.0,1,1,1.0
10,1,4,8,2.0,2.0,2.0,1.0,1,1,1.0
10,1,4,9,2.0,2.0,2.0,1.0,1,1,1.0
10,1,5,0,2.0,2.0,2.0,1.0,1,1,1.0
10,1,5,1,2.0,2.0,2.0,1.0,1,1,1.0
10,1,5,2,2.0,2.0,2.0,1.0,1,1,1.0
10,1,5,3,2.0,2.0,2.0,1.0,1,1,1.0
10,1,5,4,2.0,2.0,2.0,1.0,1,1,1.0
10,1,5,5,2.0,2.0,2.0,1.0,1,1,1.0
10,1,5,6,2.0,2.0,2.0,1.0,1,1,1.0
10,1,5,7,2.0,2.0,2.0,1.0,1,1,1.0
10,1,5,8,2.0,2.0,2.0,1.0,1,1,1.0
10,1,5,9,2.0,2.0,2.0,1.0,1,1,1.0
1,2,0,0,4.0,4.0,4.0,1.0,2,1,1.0
1,2,1,0,4.0,4.0,4.0,1.0,2,1,1.0
1,2,2,0,4.0,4.0,4.0,1.0,2,1,1.0
1,2,3,0,4.0,4.0,4.0,1.0,2,1,1.0
1,2,4,0,4.0,4.0,4.0,1.0,2,1,1.0
1,2,5,0,4.0,4.0,4.0,1.0,2,1,1.0
2,2,0,0,4.0,4.0,4.0,1.0,2,1,1.0
2,2,0,1,4.0,4.0,4.0,1.0,2,1,1.0
2,2,1,0,4.0,4.0,4.0,1.0,2,1,1.0
2,2,1,1,4.0,4.0,4.0,1.0,2,1,1.0
2,2,2,0,4.0,4.0,4.0,1.0,2,1,1.0
2,2,2,1,4.0,4.0,4.0,1.0,2,1,1.0
2,2,3,0,4.0,4.0,4.0,1.0,2,1,1.0
2,2,3,1,4.0,4.0,4.0,1.0,2,1,1.0
2,2,4,0,4.0,4.0,4.0,1.0,2,1,1.0
2,2,4,1,4.0,4.0,4.0,1.0,2,1,1.0
2,2,5,0,4.0,4.0,4.0,1.0,2,1,1.0
2,2,5,1,4.0,4.0,4.0,1.0,2,1,1.0
3,2,0,0,4.0,4.0,4.0,1.0,2,1,1.0
3,2,0,1,4.0,4.0,4.0,1.0,2,1,1.0
3,2,0,2,4.0,2.8284271247461903,2.8284271247461903,1.0,1,2,1.0
3,2,1,0,4.0,4.0,4.0,1.0,2,1,1.0
3,2,1,1,4.0,4.0,4.0,1.0,2,1,1.0
3,2,1,2,4.0,4.0,4.0,1.0,2,1,1.0
3,2,2,0,4.0,4.0,4.0,1.0,2,1,1.0
3,2,2,1,4.0,4.0,4.0,1.0,2,1,1.0
3,2,2,2,4.0,4.0,4.0,1.0,2,1,1.0
3,2,3,0,4.0,2.8284271247461903,2.8284271247461903,1.0,1,2,1.0
3,2,3,1,4.0,4.0,4.0,1.0,2,1,1.0
3,2,3,2,4.0,4.0,4.0,1.0,2,1,1.0
3,2,4,0,4.0,4.0,4.0,1.0,2,1,1.0
3,2,4,1,4.0,4.0,4.0,1.0,2,1,1.0
3,2,4,2,4.0,4.0,4.0,1.0,2,1,1.0
3,2,5,0,4.0,4.0,4.0,1.0,2,1,1.0
3,2,5,1,4.0,4.0,4.0,1.0,2,1,1.0
3,2,5,2,4.0,4.0,4.0,1.0,2,1,1.0
4,2,0,0,4.0,4.0,4.000000000000005,1.0000000000000013,2,1,1.0
4,2,0,1,4.0,4.0,4.0,1.0,2,1,1.0
4,2,0,2,4.0,4.0,4.0,1.0,2,1,1.0
4,2,0,3,4.0,4.0,4.0,1.0,2,1,1.0
4,2,1,0,4.0,4.0,4.0,1.0,2,1,1.0
4,2,1,1,4.0,4.0,4.0,1.0,2,1,1.0
4,2,1,2,4.0,4.0,4.0,1.0,2,1,1.0
4,2,1,3,4.0,2.8284271247461903,2.8284271247461903,1.0,1,2,1.0
4,2,2,0,4.0,4.0,4.0,1.0,2,1,1.0
4,2,2,1,4.0,4.0,4.0,1.0,2,1,1.0
4,2,2,2,4.0,4.0,4.0,1.0,2,1,1.0
4,2,2,3,4.0,4.0,4.0,1.0,2,1,1.0
4,2,3,0,4.0,2.8284271247461903,2.8284271247461903,1.0,1,2,1.0
4,2,3,1,4.0,4.0,4.0,1.0,2,1,1.0
4,2,3,2,4.0,2.8284271247461903,2.8284271247461903,1.0,1,2,1.0
4,2,3,3,4.0,4.0,4.0,1.0,2,1,1.0
4,2,4,0,4.0,4.0,4.0,1.0,2,1,1.0
4,2,4,1,4.0,4.0,4.0,1.0,2,1,1.0
4,2,4,2,4.0,4.0,4.0,1.0,2,1,1.0
4,2,4,3,4.0,4.0,4.0,1.0,2,1,1.0
4,2,5,0,4.0,2.8284271247461903,2.8284271247461903,1.0,1,2,1.0
4,2,5,1,4.0,4.0,4.0,1.0,2,1,1.0
4,2,5,2,4.0,4.0,4.0,1.0,2,1,1.0
4,2,5,3,4.0,2.8284271247461903,2.8284271247461903,1.0,1,2,1.0
5,2,0,0,4.0,4.0,4.0,1.0,2,1,1.0
5,2,0,1,4.0,4.0,4.0,1.0,2,1,1.0
5,2,0,2,4.0,4.0,4.0,1.0,2,1,1.0
